Date,Open,High,Low,Close,Adj Close,Volume
2014-11-12,104.809998,105.300003,104.739998,105.180000,96.867401,1089800
2014-11-13,105.320000,105.559998,104.730003,105.160004,96.849007,1671100
2014-11-14,105.230003,105.330002,104.940002,105.169998,96.858192,2173900
2014-11-17,105.000000,105.300003,104.830002,105.160004,96.849007,1449600
2014-11-18,105.239998,105.970001,105.220001,105.779999,97.419983,1486000
2014-11-19,105.650002,105.720001,105.029999,105.510002,97.171333,1771100
2014-11-20,105.070000,105.830002,104.940002,105.809998,97.447617,1502500
2014-11-21,106.849998,106.940002,106.059998,106.370003,97.963364,3435600
2014-11-24,106.650002,106.769997,106.500000,106.760002,98.322533,3990800
2014-11-25,106.919998,107.070000,106.500000,106.739998,98.304115,2310700
2014-11-26,106.769997,107.000000,106.629997,106.980003,98.525162,1178300
2014-11-28,106.949997,107.010002,106.480003,106.599998,98.175179,944100
2014-12-01,106.500000,106.550003,105.529999,105.699997,97.346313,2754700
2014-12-02,105.800003,106.489998,105.750000,106.360001,97.954140,2450900
2014-12-03,106.440002,106.989998,106.379997,106.839996,98.396217,3299500
2014-12-04,106.699997,107.010002,106.239998,106.709999,98.276489,2417600
2014-12-05,106.860001,107.169998,106.699997,106.949997,98.497528,3314600
2014-12-08,106.769997,107.070000,105.800003,106.190002,97.797577,2070200
2014-12-09,105.040001,106.330002,104.820000,106.250000,97.852829,3044100
2014-12-10,105.970001,106.190002,104.370003,104.510002,96.250359,3507300
2014-12-11,104.930000,105.989998,104.760002,104.989998,96.692429,3340100
2014-12-12,104.220001,104.750000,103.330002,103.339996,95.172829,3956600
2014-12-15,103.750000,104.180000,102.239998,102.589996,94.482101,4328000
2014-12-16,102.029999,104.010002,101.800003,101.830002,93.782166,7528300
2014-12-17,102.250000,104.209999,102.010002,104.010002,95.789886,4949000
2014-12-18,105.559998,106.470001,105.029999,106.470001,98.055458,6384400
2014-12-19,106.610001,107.250000,106.379997,106.910004,98.460678,3575600
2014-12-22,106.660004,106.779999,106.279999,106.769997,98.850456,5630200
2014-12-23,107.239998,107.239998,106.820000,107.010002,99.072647,4050500
2014-12-24,107.349998,107.349998,107.019997,107.040001,99.100426,1702600
2014-12-26,107.309998,107.629997,107.269997,107.360001,99.396713,3293300
2014-12-29,107.360001,107.709999,107.290001,107.589996,99.609634,3746500
2014-12-30,107.419998,107.459999,106.989998,107.059998,99.118958,4473000
2014-12-31,107.190002,107.389999,105.980003,106.000000,98.137581,2224400
2015-01-02,106.489998,106.720001,105.269997,105.919998,98.063492,5298200
2015-01-05,105.349998,105.550003,103.860001,104.099998,96.378487,5383000
2015-01-06,104.400002,104.500000,102.510002,103.080002,95.434166,4226000
2015-01-07,104.089996,104.449997,103.550003,104.309998,96.572937,3661400
2015-01-08,105.209999,106.239998,105.110001,106.150002,98.276436,2796000
2015-01-09,106.320000,106.349998,104.919998,105.269997,97.461723,3272300
2015-01-12,105.550003,105.550003,104.120003,104.519997,96.767349,3705700
2015-01-13,105.330002,106.000000,103.430000,104.279999,96.545151,2936200
2015-01-14,103.040001,103.790001,102.500000,103.709999,96.017433,3291600
2015-01-15,104.050003,104.260002,102.570000,102.660004,95.045311,5615200
2015-01-16,102.610001,104.110001,102.419998,104.019997,96.304443,2768900
2015-01-20,104.419998,104.529999,103.199997,104.169998,96.443306,3186300
2015-01-21,103.930000,104.949997,103.599998,104.639999,96.878448,3119400
2015-01-22,105.239998,106.309998,104.269997,106.230003,98.350510,3583500
2015-01-23,106.110001,106.279999,105.680000,105.750000,97.906120,4571500
2015-01-26,105.750000,106.220001,105.199997,106.190002,98.313469,4106500
2015-01-27,105.370003,105.610001,104.360001,104.949997,97.165451,2709200
2015-01-28,105.639999,105.720001,103.410004,103.529999,95.850792,2830400
2015-01-29,103.699997,104.620003,102.820000,104.519997,96.767349,2606900
2015-01-30,103.669998,104.510002,102.949997,103.099998,95.452690,4486900
2015-02-02,103.489998,104.330002,102.260002,104.260002,96.526642,4082700
2015-02-03,104.900002,105.870003,104.709999,105.860001,98.007957,3321000
2015-02-04,105.440002,106.139999,105.239998,105.489998,97.665405,3141100
2015-02-05,105.940002,106.720001,105.839996,106.650002,98.739357,3162500
2015-02-06,106.879997,107.180000,106.019997,106.330002,98.443100,2844000
2015-02-09,105.989998,106.349998,105.589996,105.800003,97.952393,1773800
2015-02-10,106.500000,107.040001,105.839996,106.879997,98.952293,1866100
2015-02-11,106.669998,107.190002,106.370003,106.930000,98.998581,2184600
2015-02-12,107.470001,107.989998,107.269997,107.959999,99.952202,4443100
2015-02-13,108.000000,108.480003,107.919998,108.470001,100.424355,3147700
2015-02-17,108.370003,108.760002,108.129997,108.639999,100.581749,4146600
2015-02-18,108.419998,108.750000,108.269997,108.699997,100.637299,2542600
2015-02-19,108.389999,108.879997,108.260002,108.669998,100.609535,2348900
2015-02-20,108.470001,109.320000,108.010002,109.279999,101.174278,2402500
2015-02-23,109.169998,109.269997,108.860001,109.269997,101.165024,3033700
2015-02-24,109.279999,109.629997,109.040001,109.519997,101.396461,2856500
2015-02-25,109.489998,109.779999,109.260002,109.480003,101.359444,2652100
2015-02-26,109.449997,109.529999,109.019997,109.410004,101.294624,1742000
2015-02-27,109.349998,109.480003,108.970001,109.019997,100.933556,1825400
2015-03-02,109.110001,109.720001,109.019997,109.690002,101.553879,2681100
2015-03-03,109.470001,109.610001,108.739998,109.239998,101.137245,2614700
2015-03-04,108.900002,108.959999,108.199997,108.800003,100.729881,1949900
2015-03-05,109.029999,109.099998,108.629997,108.970001,100.887283,1752500
2015-03-06,108.470001,108.660004,107.239998,107.459999,99.489281,2798700
2015-03-09,107.599998,108.050003,107.519997,107.860001,99.859589,1827900
2015-03-10,107.000000,107.099998,106.209999,106.220001,98.341270,3543000
2015-03-11,106.430000,106.489998,105.980003,106.139999,98.267181,3071300
2015-03-12,106.470001,107.510002,106.419998,107.470001,99.498528,3907000
2015-03-13,107.370003,107.400002,106.169998,106.870003,98.943054,2072900
2015-03-16,107.360001,108.230003,107.260002,108.209999,100.183647,2706600
2015-03-17,107.800003,108.190002,107.470001,108.000000,99.989220,1754000
2015-03-18,107.680000,109.629997,107.349998,109.239998,101.137245,3662800
2015-03-19,109.029999,109.199997,108.570000,108.849998,100.776176,3901300
2015-03-20,109.489998,110.019997,109.370003,109.760002,101.618675,1740500
2015-03-23,109.720001,110.089996,109.570000,109.570000,101.442780,2084200
2015-03-24,109.540001,109.739998,108.940002,108.989998,100.905792,3398600
2015-03-25,108.639999,108.750000,106.790001,106.790001,99.331955,2816700
2015-03-26,106.389999,107.120003,105.980003,106.580002,99.136635,3164400
2015-03-27,106.599998,106.970001,106.419998,106.870003,99.406372,3297500
2015-03-30,107.589996,108.389999,107.519997,108.230003,100.671394,1885600
2015-03-31,107.730003,108.669998,107.000000,107.250000,99.759842,2077100
2015-04-01,107.339996,107.410004,106.389999,107.050003,99.573807,11026300
2015-04-02,107.029999,107.699997,106.849998,107.389999,99.890053,2041200
2015-04-06,107.269997,108.410004,106.790001,108.129997,100.578362,2186600
2015-04-07,108.129997,108.540001,107.769997,107.769997,100.243515,1983900
2015-04-08,108.000000,108.430000,107.720001,108.230003,100.671394,2454200
2015-04-09,108.199997,108.709999,107.739998,108.610001,101.024872,2213900
2015-04-10,108.870003,109.150002,108.639999,109.120003,101.499252,2406000
2015-04-13,109.040001,109.430000,108.660004,108.690002,101.099274,3524700
2015-04-14,108.660004,108.980003,108.160004,108.849998,101.248085,1460600
2015-04-15,109.239998,109.690002,109.080002,109.400002,101.759682,1512400
2015-04-16,109.230003,109.629997,109.059998,109.349998,101.713173,1490200
2015-04-17,108.699997,108.800003,107.610001,108.080002,100.531868,2657000
2015-04-20,108.669998,109.180000,108.620003,108.959999,101.350403,2005000
2015-04-21,109.449997,109.519997,108.750000,108.930000,101.322510,3909900
2015-04-22,109.080002,109.500000,108.529999,109.389999,101.750366,1469300
2015-04-23,109.139999,110.080002,109.099998,109.730003,102.066650,2340700
2015-04-24,109.919998,110.000000,109.620003,109.849998,102.178253,1775100
2015-04-27,110.190002,110.279999,109.169998,109.279999,101.648056,1827700
2015-04-28,109.540001,109.650002,108.500000,109.570000,101.917809,2595000
2015-04-29,109.010002,109.459999,108.629997,109.089996,101.471329,2432000
2015-04-30,108.779999,108.919998,107.470001,107.910004,100.373749,3635900
2015-05-01,108.400002,108.980003,108.230003,108.900002,101.294586,3924600
2015-05-04,109.239998,109.660004,109.120003,109.279999,101.648056,1713300
2015-05-05,109.169998,109.360001,107.879997,107.980003,100.438850,1692700
2015-05-06,108.379997,108.540001,107.010002,107.680000,100.159805,3691600
2015-05-07,107.599998,108.370003,107.379997,108.089996,100.541161,2363500
2015-05-08,109.110001,109.589996,109.080002,109.449997,101.806183,1796400
2015-05-11,109.330002,109.589996,108.930000,108.989998,101.378304,1655900
2015-05-12,108.480003,109.010002,107.930000,108.669998,101.080650,1657500
2015-05-13,108.970001,109.300003,108.580002,108.730003,101.136475,2424500
2015-05-14,109.330002,109.849998,109.099998,109.809998,102.141060,1579000
2015-05-15,109.879997,109.989998,109.599998,109.940002,102.261963,1862700
2015-05-18,109.809998,110.500000,109.750000,110.349998,102.643341,2769100
2015-05-19,110.379997,110.559998,110.120003,110.300003,102.596832,2844900
2015-05-20,110.339996,110.680000,110.029999,110.230003,102.531708,2478300
2015-05-21,110.180000,110.660004,110.070000,110.510002,102.792152,1476400
2015-05-22,110.379997,110.559998,110.220001,110.300003,102.596832,1187800
2015-05-26,110.019997,110.019997,108.870003,109.150002,101.527130,2226500
2015-05-27,109.449997,110.279999,109.199997,110.150002,102.457306,2562200
2015-05-28,109.970001,110.080002,109.570000,110.050003,102.364296,2022400
2015-05-29,109.989998,110.019997,109.180000,109.309998,101.675957,1943200
2015-06-01,109.800003,109.959999,109.059998,109.580002,101.927109,2354700
2015-06-02,109.250000,109.930000,108.949997,109.500000,101.852699,1925300
2015-06-03,109.779999,110.220001,109.529999,109.879997,102.206161,1731100
2015-06-04,109.500000,109.800003,108.769997,109.000000,101.387611,1845500
2015-06-05,108.910004,109.199997,108.330002,108.910004,101.303902,3342700
2015-06-08,108.879997,108.959999,108.180000,108.239998,100.680695,2990000
2015-06-09,108.250000,108.480003,107.730003,108.150002,100.596985,2976500
2015-06-10,108.699997,109.660004,108.589996,109.449997,101.806183,1592000
